Latents 1: torch.Size([32, 5632]), sample/latent: 5632.0
Latents 2: torch.Size([32, 9728]), sample/latent: 4864.0
Latents 3: torch.Size([32, 13824]), sample/latent: 4608.0
Latents 4: torch.Size([32, 17920]), sample/latent: 4480.0
Latents 5: torch.Size([32, 22016]), sample/latent: 4403.2
Latents 6: torch.Size([32, 26112]), sample/latent: 4352.0
Latents 7: torch.Size([32, 30208]), sample/latent: 4315.428571428572
Latents 8: torch.Size([32, 34304]), sample/latent: 4288.0
Latents 9: torch.Size([32, 38400]), sample/latent: 4266.666666666667
Latents 10: torch.Size([32, 42496]), sample/latent: 4249.6
Latents 11: torch.Size([32, 46592]), sample/latent: 4235.636363636364
Latents 12: torch.Size([32, 50688]), sample/latent: 4224.0
Latents 13: torch.Size([32, 54784]), sample/latent: 4214.153846153846
Latents 14: torch.Size([32, 58880]), sample/latent: 4205.714285714285
Latents 15: torch.Size([32, 62976]), sample/latent: 4198.4
Latents 16: torch.Size([32, 67072]), sample/latent: 4192.0
Latents 17: torch.Size([32, 71168]), sample/latent: 4186.35294117647
Latents 18: torch.Size([32, 75264]), sample/latent: 4181.333333333333
Latents 19: torch.Size([32, 79360]), sample/latent: 4176.8421052631575
Latents 20: torch.Size([32, 83456]), sample/latent: 4172.8
Latents 21: torch.Size([32, 87552]), sample/latent: 4169.142857142857
Latents 22: torch.Size([32, 91648]), sample/latent: 4165.818181818182
Latents 23: torch.Size([32, 95744]), sample/latent: 4162.782608695652
Latents 24: torch.Size([32, 99840]), sample/latent: 4160.0
Latents 25: torch.Size([32, 103936]), sample/latent: 4157.44
Latents 26: torch.Size([32, 108032]), sample/latent: 4155.076923076923
Latents 27: torch.Size([32, 112128]), sample/latent: 4152.888888888889
Latents 28: torch.Size([32, 116224]), sample/latent: 4150.857142857143
Latents 29: torch.Size([32, 120320]), sample/latent: 4148.9655172413795
Latents 30: torch.Size([32, 124416]), sample/latent: 4147.2
Latents 31: torch.Size([32, 128512]), sample/latent: 4145.548387096775
Latents 32: torch.Size([32, 132608]), sample/latent: 4144.0
Latents 33: torch.Size([32, 136704]), sample/latent: 4142.545454545455
Latents 34: torch.Size([32, 140800]), sample/latent: 4141.176470588235
Latents 35: torch.Size([32, 144896]), sample/latent: 4139.885714285714
Latents 36: torch.Size([32, 148992]), sample/latent: 4138.666666666667
Latents 37: torch.Size([32, 153088]), sample/latent: 4137.513513513513
Latents 38: torch.Size([32, 157184]), sample/latent: 4136.421052631579
Latents 39: torch.Size([32, 161280]), sample/latent: 4135.384615384615
Latents 40: torch.Size([32, 165376]), sample/latent: 4134.4
Latents 41: torch.Size([32, 169472]), sample/latent: 4133.463414634146
Latents 42: torch.Size([32, 173568]), sample/latent: 4132.571428571428
Latents 43: torch.Size([32, 177664]), sample/latent: 4131.720930232558
Latents 44: torch.Size([32, 181760]), sample/latent: 4130.909090909091
Latents 45: torch.Size([32, 185856]), sample/latent: 4130.133333333333
Latents 46: torch.Size([32, 189952]), sample/latent: 4129.391304347826
Latents 47: torch.Size([32, 194048]), sample/latent: 4128.68085106383
Latents 48: torch.Size([32, 198144]), sample/latent: 4128.0
Latents 49: torch.Size([32, 202240]), sample/latent: 4127.34693877551
Latents 50: torch.Size([32, 206336]), sample/latent: 4126.72
Latents 51: torch.Size([32, 210432]), sample/latent: 4126.117647058823
Latents 52: torch.Size([32, 214528]), sample/latent: 4125.538461538462
Latents 53: torch.Size([32, 218624]), sample/latent: 4124.981132075472
Latents 54: torch.Size([32, 222720]), sample/latent: 4124.444444444444
Latents 55: torch.Size([32, 226816]), sample/latent: 4123.927272727273
Latents 56: torch.Size([32, 230912]), sample/latent: 4123.428571428572
Latents 57: torch.Size([32, 235008]), sample/latent: 4122.9473684210525
Latents 58: torch.Size([32, 239104]), sample/latent: 4122.482758620689
Latents 59: torch.Size([32, 243200]), sample/latent: 4122.033898305085
Latents 60: torch.Size([32, 247296]), sample/latent: 4121.6
Latents 61: torch.Size([32, 251392]), sample/latent: 4121.180327868852
Latents 62: torch.Size([32, 255488]), sample/latent: 4120.774193548387
Latents 63: torch.Size([32, 259584]), sample/latent: 4120.380952380952
Latents 64: torch.Size([32, 263680]), sample/latent: 4120.0
Latents 65: torch.Size([32, 267776]), sample/latent: 4119.630769230769
Latents 66: torch.Size([32, 271872]), sample/latent: 4119.272727272727
Latents 67: torch.Size([32, 275968]), sample/latent: 4118.925373134329
Latents 68: torch.Size([32, 280064]), sample/latent: 4118.588235294118
Latents 69: torch.Size([32, 284160]), sample/latent: 4118.260869565217
Latents 70: torch.Size([32, 288256]), sample/latent: 4117.942857142857
Latents 71: torch.Size([32, 292352]), sample/latent: 4117.633802816901
Latents 72: torch.Size([32, 296448]), sample/latent: 4117.333333333333
Latents 73: torch.Size([32, 300544]), sample/latent: 4117.041095890411
Latents 74: torch.Size([32, 304640]), sample/latent: 4116.756756756757
Latents 75: torch.Size([32, 308736]), sample/latent: 4116.48
Latents 76: torch.Size([32, 312832]), sample/latent: 4116.210526315789
Latents 77: torch.Size([32, 316928]), sample/latent: 4115.948051948052
Latents 78: torch.Size([32, 321024]), sample/latent: 4115.692307692308
Latents 79: torch.Size([32, 325120]), sample/latent: 4115.443037974684
Latents 80: torch.Size([32, 329216]), sample/latent: 4115.2
